Gene	RNA Tissue Category	RNA TS TPM	BaseMean	log2FoldChange	lfcSE	stat	P_value	P_value_adjusted
OTOG	Tissue enriched	testis: 1.6	1.099041298	-0.352587712	0.763620047	-0.461731869	0.644273614	0.999677189
FCRL2	Group enriched	appendix: 16.3;lymph node: 28.4;spleen: 25.9;tonsil: 23.7	5.793571209	-0.23210218	0.502781738	-0.461636059	0.644342332	0.999677189
KIF5B	Expressed in all		1571.869791	0.046609344	0.100997145	0.461491701	0.644445874	0.999677189
PTPRC	Expressed in all		804.3142076	0.112862034	0.244603775	0.461407574	0.644506219	0.999677189
RFX2	Tissue enhanced	testis: 93.1	26.06885473	0.096711805	0.20960428	0.461401859	0.644510318	0.999677189
SKP1	Expressed in all		2786.564622	0.039604635	0.085851123	0.461317609	0.644570753	0.999677189
ITGAL	Tissue enhanced	lymph node: 79.0;spleen: 80.9	325.2353533	0.072082009	0.156264902	0.461280862	0.644597113	0.999677189
TMCC3	Mixed		127.0344469	-0.083647939	0.181353736	-0.461241882	0.644625076	0.999677189
PTPDC1	Mixed		35.85825807	0.101451809	0.220037094	0.461066846	0.644750647	0.999677189
VMA21	Expressed in all		599.4272045	-0.054635766	0.118510404	-0.461020842	0.644783652	0.999677189
KIAA0141	Expressed in all		763.1078644	0.031094733	0.067456059	0.460962782	0.644825307	0.999677189
KIAA1217	Mixed		622.8458026	-0.041980539	0.091079383	-0.460922524	0.644854191	0.999677189
EIF2S3	Expressed in all		1737.940983	-0.035924801	0.077946706	-0.460889275	0.644878047	0.999677189
NDUFA1	Expressed in all		984.6679367	0.060729191	0.131771559	0.460867214	0.644893875	0.999677189
TDP1	Mixed		94.21770401	0.055458271	0.120350822	0.460805084	0.644938454	0.999677189
ATP2B2	Tissue enriched	cerebral cortex: 64.7	708.6328201	-0.09639426	0.209193131	-0.460790752	0.644948738	0.999677189
ARHGAP27	Mixed		142.3749011	-0.078440672	0.170243202	-0.460756561	0.64497327	0.999677189
KLHDC4	Expressed in all		200.0167549	0.075157325	0.16312832	0.460725182	0.644995786	0.999677189
ZNF568	Mixed		91.16173217	0.078051338	0.169412359	0.460718086	0.645000878	0.999677189
GTF2A1	Expressed in all		848.0830801	0.053716538	0.116611833	0.460643967	0.645054062	0.999677189
ERH	Expressed in all		1105.163656	0.044548456	0.096709979	0.460639707	0.645057119	0.999677189
PCGF1	Mixed		99.63583939	0.06273072	0.13618877	0.460615948	0.645074168	0.999677189
CSRP2	Mixed		239.4166174	0.061430479	0.133372678	0.460592678	0.645090866	0.999677189
SOS1	Expressed in all		425.4474184	0.109441792	0.237635875	0.460544067	0.645125748	0.999677189
SMN2	Mixed		220.9992788	-0.140774168	0.305682643	-0.460523916	0.645140209	0.999677189
RP11-192H23.4	Tissue enhanced	cerebral cortex: 2.2	32.75207785	-0.151522624	0.329057174	-0.460475068	0.645175263	0.999677189
MUL1	Expressed in all		315.1363839	0.043447306	0.094354609	0.460468295	0.645180124	0.999677189
C20orf194	Expressed in all		183.1815261	0.06687903	0.14524821	0.460446501	0.645195764	0.999677189
ENG	Expressed in all		1457.727387	0.080575699	0.175034944	0.460340646	0.64527173	0.999677189
MCF2L2	Group enriched	adrenal gland: 10.2;cerebral cortex: 17.2;parathyroid gland: 7.7;spleen: 3.5;testis: 4.7	12.85745613	0.180733863	0.392640198	0.460304024	0.645298013	0.999677189
TICAM2	Mixed		89.82035088	-0.175354071	0.380957693	-0.460298018	0.645302323	0.999677189
CASP5	Group enriched	appendix: 20.2;colon: 15.9;duodenum: 10.1;rectum: 14.5;small intestine: 18.9	1.872115838	0.301133273	0.654304685	0.460234016	0.645348257	0.999677189
VPS36	Expressed in all		738.0524128	0.041716477	0.090644785	0.460219273	0.645358839	0.999677189
NKAIN3	Not detected		0.998466073	-0.381688973	0.829389029	-0.460204994	0.645369087	0.999677189
TLK1	Expressed in all		930.4257553	0.048432231	0.105279753	0.460033668	0.645492054	0.999677189
HECW1	Tissue enhanced	cerebral cortex: 10.9;kidney: 8.2	2.917086232	0.22587423	0.491044445	0.459987344	0.645525305	0.999677189
PLEKHG7	Tissue enhanced	epididymis: 3.6;fallopian tube: 4.3	4.547400398	0.218133828	0.47431021	0.459896968	0.645590176	0.999677189
BZW2	Expressed in all		213.0467144	-0.052462577	0.114081167	-0.459870616	0.645609093	0.999677189
RCN1	Expressed in all		1980.020114	0.045725124	0.099440868	0.459822256	0.645643807	0.999677189
FAM221A	Tissue enhanced	testis: 34.7	137.5810383	-0.077364219	0.168288875	-0.459710832	0.645723793	0.999677189
PRODH	Tissue enhanced	small intestine: 25.2	143.7796507	-0.206347373	0.448899177	-0.459674207	0.645750086	0.999677189
FAM72A	Mixed		7.728045152	0.17656966	0.384153091	0.459633581	0.645779251	0.999677189
KCNMA1	Tissue enhanced	smooth muscle: 137.0	456.223407	0.102256182	0.222527144	0.459522287	0.645859151	0.999677189
VPS54	Expressed in all		395.4993474	-0.068305033	0.148710344	-0.459315951	0.646007295	0.999677189
BOK	Tissue enhanced	adipose tissue: 97.4	2311.11416	0.099240362	0.216111936	0.45920815	0.646084698	0.999677189
EGFR	Tissue enhanced	placenta: 100.0	3136.94166	-0.058871622	0.128231455	-0.459104379	0.646159212	0.999677189
ADAM29	Tissue enriched	testis: 73.3	0.808052769	0.428960082	0.934348459	0.459100754	0.646161815	NA
RARA	Expressed in all		442.7413797	0.095983541	0.209093433	0.459046178	0.646201006	0.999677189
SMAD1	Expressed in all		198.66157	0.052152613	0.113638343	0.458935005	0.64628084	0.999677189
MAPKAPK5	Expressed in all		98.07087707	-0.128033684	0.279032659	-0.45884838	0.64634305	0.999677189
MFAP1	Expressed in all		241.2609817	-0.036531694	0.079631579	-0.458758883	0.646407325	0.999677189
RAPGEF4	Tissue enhanced	adrenal gland: 53.3;cerebral cortex: 119.2	557.8904473	0.077929306	0.169904273	0.458665954	0.646474066	0.999677189
CFAP53	Group enriched	fallopian tube: 44.6;testis: 127.0	4.624864443	-0.188507375	0.41103748	-0.458613592	0.646511675	0.999677189
SLC25A18	Tissue enhanced	cerebral cortex: 74.5;liver: 25.2	743.4026757	-0.097199771	0.211949862	-0.458597944	0.646522913	0.999677189
PSMA7	Expressed in all		1921.583059	-0.063806807	0.139159611	-0.458515272	0.646582293	0.999677189
MIIP	Expressed in all		109.7086395	0.107760225	0.235049908	0.458456785	0.646624303	0.999677189
DYDC2	Tissue enriched	fallopian tube: 153.3	1.771589721	0.292828448	0.638827889	0.458383944	0.646676625	0.999677189
DDX27	Expressed in all		296.6698439	-0.056354755	0.12294388	-0.458377878	0.646680982	0.999677189
SLC10A5	Mixed		109.0370187	-0.104674484	0.228371434	-0.458351914	0.646699633	0.999677189
MRPL49	Expressed in all		607.433003	0.047667564	0.104006604	0.458312855	0.64672769	0.999677189
RAB37	Mixed		180.0821395	0.064065439	0.139793797	0.458285279	0.646747499	0.999677189
PHF12	Expressed in all		289.6934052	-0.04065679	0.088719533	-0.458261992	0.646764227	0.999677189
FCGRT	Expressed in all		5022.198606	-0.073863909	0.161184047	-0.458258184	0.646766962	0.999677189
CBR4	Expressed in all		1627.298438	-0.06862264	0.14974829	-0.45825325	0.646770507	0.999677189
BRD8	Expressed in all		280.0884778	-0.060181502	0.131360488	-0.458140059	0.646851821	0.999677189
CYB5A	Expressed in all		12869.54742	-0.055029284	0.120161153	-0.45796235	0.646979491	0.999677189
TMEM251	Expressed in all		130.8927535	0.062659552	0.136831023	0.457933812	0.646999994	0.999677189
IGFBP4	Expressed in all		14802.56596	0.071408542	0.155945536	0.457906931	0.647019307	0.999677189
DDAH2	Mixed		318.5067975	0.07425452	0.16216308	0.457900279	0.647024086	0.999677189
CLK4	Expressed in all		317.1521646	-0.074768758	0.163343792	-0.457738598	0.647140254	0.999677189
GNA11	Expressed in all		296.5654883	-0.063460177	0.138641229	-0.457729478	0.647146807	0.999677189
NTN3	Not detected		17.47479871	0.181820039	0.397411387	0.457510894	0.647303874	0.999677189
SH2D1A	Tissue enhanced	lymph node: 36.3;spleen: 17.5	44.51238487	0.120824755	0.264096973	0.457501477	0.647310641	0.999677189
GPR83	Group enriched	adrenal gland: 1.0;cerebral cortex: 4.6;thyroid gland: 5.1	12.43447552	-0.168064543	0.367403091	-0.45743911	0.647355459	0.999677189
A2ML1	Tissue enriched	esophagus: 479.2	1.186377485	-0.260872331	0.570322946	-0.4574116	0.647375228	0.999677189
TCF20	Mixed		421.657822	0.032919641	0.07196993	0.457408261	0.647377628	0.999677189
SPHKAP	Group enriched	cerebral cortex: 19.4;heart muscle: 19.0	0.469151043	0.56204676	1.22929129	0.457212024	0.647518656	NA
F9	Tissue enriched	liver: 365.0	12875.50276	-0.057768043	0.126368739	-0.457138717	0.647571344	0.999677189
BORCS8-MEF2B	Mixed		9.425740793	-0.35148908	0.76899165	-0.457077889	0.647615062	0.999677189
BTBD17	Tissue enriched	cerebral cortex: 12.9	0.29515612	-0.592690452	1.296934059	-0.456993513	0.647675708	NA
EFCAB7	Mixed		41.94310853	-0.097454495	0.213278832	-0.45693468	0.647717996	0.999677189
ZFP28	Mixed		27.11984895	-0.106232246	0.232509789	-0.456893649	0.647747489	0.999677189
YKT6	Expressed in all		348.4221712	0.042291746	0.092578131	0.456822202	0.647798847	0.999677189
TDP2	Expressed in all		81.12026662	-0.228474152	0.500284737	-0.456688232	0.647895151	0.999677189
ZNF507	Expressed in all		328.5958333	-0.050577608	0.110763388	-0.456627494	0.647938814	0.999677189
AC145212.1	Mixed		8.151007512	0.584062548	1.279470648	0.456487649	0.648039351	0.999677189
NUTM2B	Mixed		12.58600998	-0.273533965	0.599501679	-0.456268888	0.648196633	0.999677189
TEX264	Expressed in all		529.8917845	0.057912811	0.126934339	0.456242273	0.64821577	0.999677189
B3GAT2	Tissue enriched	cerebral cortex: 19.5	12.66487226	0.144353584	0.316444589	0.456173335	0.648265338	0.999677189
USP28	Expressed in all		59.21826468	0.187437726	0.41091703	0.456144945	0.648285752	0.999677189
ITIH3	Tissue enriched	liver: 413.6	16832.60619	-0.079149635	0.173602213	-0.455925266	0.64844372	0.999677189
RAB25	Tissue enhanced	esophagus: 297.5	20.3905347	0.193739471	0.424988384	0.455870038	0.648483436	0.999677189
ELK3	Expressed in all		524.587507	-0.080084244	0.17570209	-0.455795627	0.648536949	0.999677189
SKI	Expressed in all		984.1901174	0.040002168	0.087784788	0.455684515	0.648616858	0.999677189
VPS39	Expressed in all		471.689161	-0.036293468	0.079655366	-0.455631175	0.648655222	0.999677189
CTC-260F20.3	Mixed		1.775461065	0.322944353	0.708813066	0.455612868	0.648668388	0.999677189
NFKBID	Tissue enhanced	bone marrow: 9.8	2.382555827	-0.950351685	2.086588608	-0.455457143	0.648780394	0.999677189
POFUT2	Expressed in all		266.327889	-0.065902478	0.144702089	-0.455435564	0.648795914	0.999677189
TPMT	Expressed in all		1713.685644	-0.050622098	0.111171223	-0.455352535	0.648855637	0.999677189
ERV3-1	Mixed		54.63727514	-0.105138073	0.230937602	-0.45526615	0.648917776	0.999677189
TMEM208	Expressed in all		464.3512688	-0.053762985	0.118095361	-0.455250606	0.648928957	0.999677189
FAM172A	Expressed in all		262.5454217	0.055798432	0.122579738	0.455201102	0.648964568	0.999677189
TTC38	Expressed in all		2944.491543	-0.065253388	0.143351905	-0.455197213	0.648967365	0.999677189
PCED1A	Expressed in all		252.4889973	0.080907883	0.177745158	0.455190362	0.648972294	0.999677189
FGD3	Tissue enhanced	lymph node: 31.4	73.642912	0.104325531	0.229244315	0.455084484	0.64904846	0.999677189
NHSL2	Mixed		1.848863312	-0.320473091	0.704211647	-0.455080645	0.649051222	0.999677189
ZNF43	Mixed		22.5399663	-0.15515733	0.340982338	-0.4550304	0.649087368	0.999677189
SCAF1	Expressed in all		528.5653835	0.106923197	0.235029154	0.454935888	0.649155363	0.999677189
SBK2	Tissue enriched	heart muscle: 24.2	0.585061949	0.479507322	1.054278618	0.454820305	0.649238521	NA
HNRNPAB	Expressed in all		958.9294422	0.056220037	0.123640578	0.454705392	0.649321201	0.999677189
BBX	Expressed in all		377.0559411	0.123364148	0.271415653	0.454521124	0.649453792	0.999677189
VANGL1	Mixed		183.0872018	-0.058600594	0.129007346	-0.454242305	0.649654437	0.999677189
KCNRG	Tissue enriched	fallopian tube: 52.2	9.054653195	-0.206826355	0.455381321	-0.454182781	0.649697275	0.999677189
FZD3	Mixed		105.1858292	0.074743462	0.164573642	0.454164233	0.649710624	0.999677189
CRB1	Group enriched	cerebral cortex: 12.2;testis: 5.0	1.673977843	0.250569195	0.551783909	0.454107471	0.649751477	0.999677189
PLEKHA2	Expressed in all		14.7502849	-0.20149434	0.443747483	-0.454074329	0.649775329	0.999677189
FUT3	Tissue enhanced	colon: 68.0;esophagus: 83.0;small intestine: 63.1	13.1644239	-0.212072929	0.467093659	-0.454026563	0.649809708	0.999677189
FAM210B	Expressed in all		2196.001784	0.053536686	0.117915937	0.454024174	0.649811428	0.999677189
TIGD3	Tissue enhanced	testis: 3.9	2.021197645	-0.247868702	0.545969351	-0.453997466	0.649830651	0.999677189
MAPK3	Expressed in all		281.098898	0.065781896	0.144900896	0.453978532	0.649844278	0.999677189
ADAM28	Tissue enhanced	epididymis: 435.5	40.90477555	0.141773272	0.312356431	0.453882994	0.649913044	0.999677189
CXCL12	Expressed in all		4867.588225	0.079469273	0.175099828	0.453851231	0.649935907	0.999677189
SLC11A1	Tissue enhanced	appendix: 9.1;lung: 13.0	38.54099872	0.130038233	0.286530224	0.453837752	0.64994561	0.999677189
TM4SF18	Mixed		210.2456862	-0.091316047	0.201221856	-0.453807794	0.649967173	0.999677189
FECH	Expressed in all		693.5197082	0.056593004	0.124732398	0.453715354	0.650033714	0.999677189
PPM1L	Tissue enhanced	parathyroid gland: 39.6	267.2043018	0.069713672	0.153657897	0.453694043	0.650049055	0.999677189
TBC1D12	Mixed		174.4982582	0.046931899	0.10344452	0.453691493	0.650050891	0.999677189
RTKN2	Tissue enriched	lung: 121.3	5.250601375	0.225131261	0.496472498	0.453461696	0.650216319	0.999677189
ATP10D	Mixed		223.3285601	-0.073617927	0.162356439	-0.453433986	0.650236268	0.999677189
PPP2R1B	Expressed in all		1701.541318	0.084197491	0.185734166	0.45332258	0.650316476	0.999677189
CTAG2	Group enriched	fallopian tube: 2.6;heart muscle: 3.2;placenta: 3.6;skeletal muscle: 1.2;testis: 6.0	0.25653372	-1.613802605	3.560360092	-0.453269491	0.650354699	NA
GPAM	Expressed in all		5032.824285	-0.082413695	0.181823056	-0.453263171	0.650359249	0.999677189
MMP17	Tissue enhanced	cerebral cortex: 24.0	6.353002671	0.184111915	0.406309395	0.453132312	0.65045347	0.999677189
RP11-812E19.9	Tissue enhanced	tonsil: 23.0	0.501363333	-0.571745853	1.261910664	-0.4530795	0.650491496	NA
PPP2R5E	Expressed in all		818.5264563	0.040311738	0.088983634	0.453024188	0.650531324	0.999677189
SCN9A	Tissue enhanced	testis: 9.1	246.6018373	0.114553352	0.252927547	0.45290975	0.65061373	0.999677189
NAE1	Expressed in all		361.0787562	-0.050823579	0.112217498	-0.452902437	0.650618996	0.999677189
TTLL2	Tissue enriched	testis: 34.1	4.15090082	-0.353814169	0.781242787	-0.452886317	0.650630604	0.999677189
HIST1H2AC	Expressed in all		867.7608249	0.07199103	0.158974291	0.452846997	0.650658919	0.999677189
C14orf80	Mixed		133.4487792	0.153309957	0.338579527	0.452803389	0.650690323	0.999677189
EFCAB10	Group enriched	fallopian tube: 44.0;testis: 39.9	8.440242681	-0.176871209	0.390720623	-0.452679482	0.650779557	0.999677189
HCRTR1	Tissue enhanced	adrenal gland: 1.2	0.519897428	-0.438180026	0.968007193	-0.452661953	0.65079218	NA
PHPT1	Expressed in all		356.5275415	0.077217722	0.170588061	0.452656074	0.650796414	0.999677189
KCNE4	Tissue enhanced	smooth muscle: 54.0	29.67735902	0.138829825	0.306725927	0.452618486	0.650823485	0.999677189
LZTFL1	Mixed		347.8712974	-0.073326537	0.162055442	-0.45247809	0.650924602	0.999677189
HSPE1	Expressed in all		2534.772727	-0.050986105	0.1127211	-0.452320858	0.651037852	0.999677189
CNNM3	Expressed in all		664.2541776	0.058839842	0.130086808	0.452312139	0.651044132	0.999677189
NDUFAF3	Expressed in all		478.8154766	0.059409759	0.131369603	0.45223368	0.651100647	0.999677189
CPLX3	Group enriched	prostate: 143.7;spleen: 74.6	0.326948654	-0.802170076	1.773860794	-0.452217039	0.651112634	NA
MAEL	Tissue enriched	testis: 282.8	2.461472083	0.315560825	0.69787863	0.452171497	0.65114544	0.999677189
FARP1	Mixed		1124.793971	-0.035599737	0.078742412	-0.452103713	0.651194269	0.999677189
KIFAP3	Expressed in all		268.1130325	0.091578924	0.202567337	0.452091265	0.651203236	0.999677189
FEZF2	Tissue enriched	cerebral cortex: 11.7	0.624439304	0.483868894	1.070297803	0.452088094	0.651205521	NA
OPA1	Expressed in all		1117.213015	-0.047671415	0.105458183	-0.452040933	0.651239495	0.999677189
NKX2-5	Group enriched	heart muscle: 32.7;spleen: 14.5	2.438062874	0.398763788	0.882164513	0.452028825	0.651248217	0.999677189
SLC38A3	Tissue enriched	liver: 174.0	25.53982109	-0.132532546	0.293211518	-0.452003204	0.651266674	0.999677189
YDJC	Mixed		127.0218188	0.102259455	0.226286941	0.451901706	0.651339795	0.999677189
C9orf50	Tissue enhanced	testis: 8.1	0.500121063	-0.63803556	1.41195556	-0.451880766	0.651354882	NA
PRPF19	Expressed in all		831.362985	0.053463298	0.118328086	0.451822553	0.651396821	0.999677189
FAM131C	Tissue enhanced	adrenal gland: 3.3;cerebral cortex: 4.8;kidney: 3.7	4.171349435	0.497016636	1.100075828	0.451802161	0.651411513	0.999677189
NCOA2	Expressed in all		1303.420345	0.052357385	0.115886995	0.451796901	0.651415303	0.999677189
PLAC1	Tissue enriched	placenta: 37.7	0.277894788	0.869884558	1.925967556	0.451661065	0.651513171	NA
CSRNP3	Tissue enhanced	cerebral cortex: 16.1	67.50133809	-0.112699279	0.249544887	-0.451619266	0.651543288	0.999677189
MICALL2	Mixed		162.2426504	0.114294449	0.253203238	0.451394105	0.651705531	0.999677189
LILRB4	Tissue enhanced	appendix: 14.6;lymph node: 13.4	92.80809496	0.131159043	0.290568375	0.451387879	0.651710017	0.999677189
COG1	Expressed in all		184.1716064	0.045825501	0.101523903	0.45137647	0.651718239	0.999677189
CCIN	Tissue enriched	testis: 112.2	0.18354705	-1.103175769	2.44486071	-0.451222339	0.651829311	NA
NCK2	Expressed in all		278.4044506	0.077762923	0.172343154	0.45120982	0.651838333	0.999677189
SLAIN1	Expressed in all		102.9065339	-0.075780113	0.167964684	-0.451166943	0.651869233	0.999677189
TPK1	Mixed		95.84929524	-0.067049258	0.148625057	-0.451130245	0.651895681	0.999677189
AXIN2	Mixed		59.25851996	-0.078953156	0.175055725	-0.451017276	0.651977098	0.999677189
ARHGAP26	Mixed		259.2757874	-0.04951544	0.109803428	-0.450946214	0.652028315	0.999677189
NME1	Expressed in all		298.7125358	0.098120587	0.217642026	0.450834746	0.652108657	0.999677189
CECR2	Tissue enhanced	cerebral cortex: 7.8	115.780526	-0.094067652	0.208677648	-0.450779722	0.652148318	0.999677189
NIF3L1	Expressed in all		202.0398388	-0.044746447	0.099302032	-0.450609576	0.652270964	0.999677189
MAP3K2	Expressed in all		1697.648249	0.052761345	0.11709266	0.450594812	0.652281607	0.999677189
P4HA1	Expressed in all		736.3731576	0.12187624	0.270544868	0.45048439	0.652361207	0.999677189
TNNC1	Group enriched	heart muscle: 4938.6;skeletal muscle: 7104.7	3.474905406	-0.195556377	0.43420551	-0.450377465	0.652438291	0.999677189
WASL	Expressed in all		703.0439531	0.137782507	0.306017222	0.45024429	0.652534304	0.999677189
C2orf61	Tissue enhanced	testis: 1.3	0.269163518	-0.619823467	1.376976428	-0.45013368	0.652614053	NA
USP16	Expressed in all		609.8541193	0.049191466	0.109285519	0.450118791	0.652624788	0.999677189
ARL6IP5	Expressed in all		1486.419682	0.078060523	0.173426103	0.450108271	0.652632373	0.999677189
TRIM14	Mixed		862.4403349	-0.052694224	0.117072385	-0.450099519	0.652638684	0.999677189
AADACL2	Tissue enriched	skin: 31.1	0.165383231	-0.946028803	2.101827922	-0.450098123	0.65263969	NA
PRSS53	Tissue enhanced	skin: 1.1	91.32005407	-0.130192143	0.289352209	-0.449943491	0.652751187	0.999677189
PLEKHF2	Expressed in all		387.4025663	0.074808297	0.166335449	0.449743563	0.652895356	0.999677189
RGS17	Mixed		2.442060068	0.272610963	0.606158499	0.449735446	0.652901209	0.999677189
LMO2	Mixed		249.335653	-0.070447749	0.156647484	-0.449721551	0.65291123	0.999677189
CHCHD5	Expressed in all		197.8718317	0.06448261	0.143392925	0.449691712	0.652932748	0.999677189
GJD4	Tissue enhanced	cerebral cortex: 1.7	0.132145008	-1.134047915	2.522155412	-0.449634432	0.652974057	NA
TNPO3	Expressed in all		143.488086	-0.169920644	0.377959045	-0.449574224	0.653017477	0.999677189
KIAA0408	Tissue enhanced	cerebral cortex: 43.8	13.95911563	0.17709266	0.393934589	0.449548389	0.653036109	0.999677189
CAPZA3	Tissue enriched	testis: 281.4	2.664391415	0.267073108	0.594138964	0.449512865	0.65306173	0.999677189
NUFIP2	Expressed in all		1369.088474	0.042855717	0.095357388	0.44942209	0.653127199	0.999677189
CD84	Tissue enhanced	lymph node: 28.4	304.9482773	0.107681437	0.239650002	0.449327921	0.653195119	0.999677189
ASIC3	Tissue enhanced	testis: 8.1	7.458496961	0.16802766	0.373997022	0.449275397	0.653233004	0.999677189
RNF220	Expressed in all		108.3031187	-0.102963631	0.22920071	-0.449229112	0.653266389	0.999677189
FZD10	Tissue enhanced	"cervix, uterine: 9.4;esophagus: 8.8"	1.095628894	0.422097189	0.939612243	0.449224871	0.653269448	0.999677189
GYPE	Tissue enhanced	bone marrow: 8.1	2.377095528	0.235073219	0.523350129	0.449170079	0.65330897	0.999677189
ZCRB1	Expressed in all		793.0746215	0.066248501	0.147534182	0.449038318	0.653404015	0.999677189
ANKRD18B	Tissue enhanced	testis: 6.4	6.953500227	-0.233930468	0.520975404	-0.449024015	0.653414333	0.999677189
LPCAT2	Tissue enhanced	thyroid gland: 142.6	193.6078841	-0.106657171	0.237677428	-0.448747583	0.653613755	0.999677189
TNFSF13	Expressed in all		116.1130931	0.079802607	0.177899237	0.448583187	0.653732364	0.999677189
GCNA	Group enriched	adrenal gland: 5.9;testis: 20.6	15.78099305	-0.142425641	0.317598201	-0.448445995	0.653831354	0.999677189
TKFC	Expressed in all		2544.052088	0.093628274	0.208877857	0.448244136	0.653977013	0.999677189
GTF2H2	Mixed		96.23211872	-0.119167316	0.265866497	-0.448222388	0.653992707	0.999677189
NLRP6	Group enriched	duodenum: 39.4;small intestine: 40.2	56.9958491	-0.135840022	0.303120491	-0.448138699	0.654053101	0.999677189
AFF4	Expressed in all		2626.935298	-0.067717103	0.151121078	-0.448098334	0.65408223	0.999677189
CELA2A	Tissue enriched	pancreas: 34335.1	0.446830645	-0.469842267	1.048630201	-0.448053343	0.654114699	NA
MRE11	Expressed in all		92.63516297	0.075507881	0.168531354	0.44803462	0.654128211	0.999677189
LFNG	Expressed in all		77.70796731	0.087882434	0.19620647	0.44790793	0.654219645	0.999677189
BCL9	Mixed		117.4843699	0.048423189	0.108149293	0.447743922	0.654338019	0.999677189
SIGLEC6	Tissue enriched	placenta: 147.9	2.748661214	-0.237668721	0.53091462	-0.447659025	0.654399298	0.999677189
CT62	Tissue enriched	testis: 50.1	0.318846909	0.437602398	0.977733423	0.447568209	0.654464851	NA
KRT12	Not detected		0.155768309	-2.005294587	4.480741882	-0.447536287	0.654487894	NA
C4orf46	Tissue enhanced	testis: 22.3	61.10603856	0.081106261	0.181229548	0.447533318	0.654490037	0.999677189
SCN3B	Tissue enriched	cerebral cortex: 132.1	5.564885658	-0.187518031	0.419035611	-0.447499033	0.654514786	0.999677189
SPP2	Tissue enriched	liver: 265.4	3483.210656	-0.109333218	0.244354909	-0.447436143	0.654560185	0.999677189
LOX	Mixed		67.87820131	0.100892401	0.22550224	0.447411969	0.654577635	0.999677189
BTNL8	Group enriched	colon: 26.1;duodenum: 117.4;rectum: 27.7;small intestine: 94.2	7.447588342	-0.20033238	0.447818577	-0.447351652	0.654621178	0.999677189
FGB	Tissue enriched	liver: 10006.0	131503.8826	-0.077319808	0.172857134	-0.447304699	0.654655075	0.999677189
NAA16	Expressed in all		146.2134727	0.063545395	0.142102968	0.447178524	0.654746166	0.999677189
PTX4	Not detected		0.292449885	0.609489809	1.362997311	0.447168754	0.65475322	NA
MEIG1	Group enriched	fallopian tube: 6.7;testis: 13.0	3.193585797	-0.206901206	0.462824352	-0.447040449	0.654845855	0.999677189
USP32	Expressed in all		602.5022124	-0.057934367	0.129597006	-0.44703476	0.654849963	0.999677189
MT1M	Tissue enhanced	adipose tissue: 110.2	1296.851401	0.19721731	0.441234776	0.446966832	0.654899008	0.999677189
TATDN3	Expressed in all		207.4421976	-0.040659767	0.090984187	-0.446888285	0.654955723	0.999677189
C1QL1	Tissue enriched	cerebral cortex: 38.4	7.683783967	-0.221839641	0.496410809	-0.446887209	0.6549565	0.999677189
RPL37	Expressed in all		5938.208187	0.066407112	0.148622561	0.446817168	0.655007075	0.999677189
NIPAL1	Tissue enhanced	esophagus: 24.0;skin: 30.8	496.6022195	0.090684746	0.20295946	0.446812116	0.655010723	0.999677189
TAS2R20	Not detected		3.362161314	0.181223884	0.405859583	0.446518678	0.655222624	0.999677189
TSSK1B	Tissue enriched	testis: 62.0	0.254228532	-0.760442473	1.703052624	-0.446517308	0.655223613	NA
XRCC6	Expressed in all		1381.604626	-0.057178024	0.128061711	-0.446488053	0.65524474	0.999677189
LRP1B	Tissue enhanced	cerebral cortex: 16.4;thyroid gland: 9.6	13.10808278	-0.26435066	0.592100704	-0.44646233	0.655263318	0.999677189
ITFG1	Expressed in all		1298.050923	0.047866056	0.107255022	0.44628266	0.65539308	0.999677189
KANTR	Tissue enriched	cerebral cortex: 2.3	5.694129068	-0.20302509	0.455025459	-0.446184023	0.655464323	0.999677189
SRRD	Expressed in all		123.6412699	0.053942554	0.120902611	0.446165336	0.65547782	0.999677189
DNAJC25	Tissue enhanced	liver: 16.7	1188.207175	-0.054711826	0.122659097	-0.446047847	0.655562684	0.999677189
PIPOX	Group enriched	kidney: 137.9;liver: 235.9	5911.629277	-0.053742502	0.120487526	-0.446042045	0.655566875	0.999677189
ANKIB1	Expressed in all		462.2200456	0.050412387	0.113049133	0.445933421	0.65564534	0.999677189
KRTAP5-4	Not detected		0.515421771	0.553847688	1.242306549	0.445822079	0.655725772	NA
SLC25A36	Expressed in all		173.8884385	-0.089882006	0.201700218	-0.445621759	0.65587049	0.999677189
ACY3	Tissue enhanced	duodenum: 80.6;kidney: 53.3;small intestine: 78.6	251.5020935	0.097734553	0.219338406	0.445587958	0.655894911	0.999677189
SASH3	Tissue enhanced	lymph node: 136.7;spleen: 99.3;tonsil: 97.4	117.0385902	0.090597604	0.203327557	0.445574648	0.655904527	0.999677189
MAMDC2	Mixed		33.30984586	-0.160652884	0.360640815	-0.445465064	0.655983702	0.999677189
PET100	Expressed in all		407.7662632	0.069310004	0.155607328	0.44541607	0.656019101	0.999677189
C6orf136	Mixed		119.2104162	0.074348418	0.166971922	0.445274971	0.656121053	0.999677189
FOXO4	Expressed in all		204.361784	0.063043837	0.141604903	0.445209425	0.656168416	0.999677189
NUP188	Expressed in all		173.3300027	-0.113662144	0.255405647	-0.445025964	0.656300991	0.999677189
TMEM204	Mixed		223.5836373	-0.070402264	0.158201785	-0.445015608	0.656308475	0.999677189
NOX5	Tissue enhanced	spleen: 13.2	1.332151873	-0.305749164	0.687075211	-0.445001011	0.656319023	0.999677189
