Gene	RNA Tissue Category	RNA TS TPM	BaseMean	log2FoldChange	lfcSE	stat	P value	P value adjusted
LIN7C	Expressed in all		1651.067369	0.37190534	0.105228836	3.534253091	0.000408929	0.002681633
LRRC4C	Tissue enriched	cerebral cortex: 34.4	29.41510925	-1.222475296	0.208273296	-5.869572922	4.37E-09	1.15E-07
SAA4	Tissue enriched	liver: 776.2	6032.161692	0.841375808	0.16184448	5.198668555	2.01E-07	3.52E-06
PGAP2	Expressed in all		336.3414528	0.316348238	0.100281439	3.154604082	0.00160716	0.008530287
SYT8	Group enriched	gallbladder: 26.5;skin: 80.2;urinary bladder: 24.5	8.124164741	-2.569363714	0.657684332	-3.906682262	9.36E-05	0.000770777
ZNF215	Mixed		6.324315113	-1.545425957	0.379008242	-4.077552372	4.55E-05	0.000410931
GLYAT	Group enriched	kidney: 584.9;liver: 355.3	4048.646652	1.104573545	0.152221908	7.25633755	3.98E-13	2.40E-11
SLC43A1	Expressed in all		1569.46239	0.252246813	0.098877892	2.551094169	0.010738531	0.040986545
C11orf49	Expressed in all		63.65397754	-0.482684999	0.102718036	-4.699126061	2.61E-06	3.44E-05
ARFGAP2	Expressed in all		869.140374	0.36129683	0.099504936	3.630943804	0.000282387	0.001955885
CELF1	Expressed in all		2713.051183	0.262921756	0.078461522	3.350964244	0.000805307	0.004779806
ENDOD1	Expressed in all		303.441074	-1.191543527	0.13764077	-8.656908317	4.85E-18	6.63E-16
TENM4	Tissue enhanced	ovary: 20.8;parathyroid gland: 54.0	13.01186365	-2.204728634	0.328876305	-6.703823285	2.03E-11	8.63E-10
SERPINH1	Expressed in all		457.4831106	-0.638839131	0.154724461	-4.12888258	3.65E-05	0.000339624
CAPN5	Mixed		1194.16104	0.579683865	0.106498198	5.443133081	5.24E-08	1.05E-06
PAK1	Expressed in all		244.8244834	-0.264088435	0.096842675	-2.726984092	0.006391612	0.026901944
ST14	Mixed		205.2265937	-1.792649186	0.211938159	-8.458359726	2.71E-17	3.34E-15
TKFC	Expressed in all		2544.052088	0.837454716	0.182740717	4.582748344	4.59E-06	5.59E-05
FADS1	Expressed in all		606.0984051	1.162490526	0.341709422	3.40198558	0.000668982	0.004087619
CPSF7	Expressed in all		787.7919026	0.219615843	0.075181227	2.92115268	0.003487389	0.016314897
EI24	Tissue enriched	parathyroid gland: 1120.1	3649.457189	0.628221613	0.138489525	4.536239202	5.73E-06	6.78E-05
FEZ1	Tissue enriched	cerebral cortex: 410.9	170.4610412	0.653296876	0.181879428	3.591922856	0.000328247	0.0022307
KIRREL3	Tissue enriched	cerebral cortex: 20.4	5.153613519	-1.196659681	0.320635148	-3.73215379	0.00018985	0.00139655
TAGLN	Expressed in all		448.1064629	-1.453885709	0.250055896	-5.814242865	6.09E-09	1.55E-07
DUSP15	Tissue enhanced	testis: 77.1	2.819186049	-1.258296199	0.400969923	-3.138131138	0.001700288	0.008944477
COMMD7	Expressed in all		390.6107831	0.263380136	0.075691095	3.47967138	0.000502029	0.003189641
SOGA1	Mixed		149.5915453	-0.824865712	0.148068835	-5.57082598	2.54E-08	5.52E-07
CDH22	Group enriched	adrenal gland: 2.0;cerebral cortex: 10.2;fallopian tube: 2.3;skin: 5.1	1.86238221	-2.164071582	0.695758737	-3.110376439	0.001868491	0.009686034
GPHA2	Group enriched	gallbladder: 26.3;pancreas: 76.9	0.710561829	2.600423731	0.886269843	2.934121873	0.003344928	0.015799868
SLC22A9	Tissue enriched	liver: 22.8	505.3895967	0.473750392	0.125524831	3.774156786	0.00016055	0.001218465
TRPT1	Expressed in all		184.4508669	0.431168109	0.112940075	3.817671542	0.000134717	0.001050145
MRPL49	Expressed in all		607.433003	0.383885424	0.090418009	4.245674368	2.18E-05	0.000216831
TM7SF2	Expressed in all		1421.289643	0.857142985	0.243034883	3.526831106	0.000420565	0.002747801
ALDOA	Tissue enriched	skeletal muscle: 9377.0	1402.104228	-0.627846641	0.10366631	-6.05641931	1.39E-09	4.09E-08
HIRIP3	Expressed in all		166.8656306	0.578606157	0.120426241	4.804651808	1.55E-06	2.16E-05
CNKSR2	Tissue enriched	cerebral cortex: 53.9	42.06128856	1.263722662	0.215193407	5.872497124	4.29E-09	1.13E-07
CLEC1A	Tissue enriched	placenta: 71.1	25.44751046	-0.767929202	0.193716243	-3.964196235	7.36E-05	0.000627013
ITGB1	Expressed in all		7310.225433	-0.803908967	0.105347654	-7.631009677	2.33E-14	1.79E-12
ARID5B	Expressed in all		256.7904811	-1.51505778	0.172952505	-8.759964372	1.95E-18	3.02E-16
DCUN1D2	Expressed in all		124.7868999	0.391060757	0.10831634	3.610357928	0.000305775	0.002093601
TMCO3	Expressed in all		387.562259	-0.635092606	0.137631816	-4.614431628	3.94E-06	4.92E-05
LATS2	Expressed in all		317.8282711	-0.365169561	0.083207757	-4.388648028	1.14E-05	0.000123984
SAP18	Expressed in all		1408.294832	0.173168619	0.064981927	2.664873573	0.007701727	0.03125515
KIAA1328	Expressed in all		17.7492678	-0.694101382	0.205498579	-3.377645655	0.000731092	0.004411898
LYPD6B	Tissue enhanced	gallbladder: 58.6;skin: 56.5	10.51701686	-1.470390293	0.342455222	-4.29367169	1.76E-05	0.000179883
ADRA2A	Mixed		72.61516556	-2.486630805	0.333026118	-7.46677413	8.22E-14	5.73E-12
CCDC102B	Tissue enhanced	placenta: 41.0	12.55730384	-3.153061044	0.462687943	-6.814660058	9.45E-12	4.40E-10
CNDP1	Group enriched	cerebral cortex: 101.7;liver: 23.0	1406.65051	1.970808879	0.249082766	7.912265099	2.53E-15	2.28E-13
FSIP1	Group enriched	colon: 11.2;rectum: 18.4;testis: 13.6	3.633112435	-1.891508071	0.395410536	-4.783656225	1.72E-06	2.37E-05
DLG2	Tissue enhanced	cerebral cortex: 72.8	51.25552605	0.431175214	0.170876613	2.523313212	0.01162548	0.043753561
PRSS23	Expressed in all		234.3528164	-0.930878455	0.164166219	-5.670341084	1.43E-08	3.30E-07
PPP1R1C	Tissue enriched	heart muscle: 14.1	114.2804878	0.631657272	0.193198189	3.269478225	0.00107746	0.006116584
DOCK1	Mixed		535.2661961	-0.25705812	0.084547463	-3.040400149	0.00236264	0.011774415
IL18	Tissue enhanced	esophagus: 133.0;skin: 171.5	118.507377	-1.07283947	0.187452308	-5.72326625	1.04E-08	2.51E-07
PIP4K2A	Expressed in all		449.6613123	-0.346649569	0.114885976	-3.0173358	0.002550072	0.012560137
CRIM1	Expressed in all		837.1764297	-1.345341546	0.155170476	-8.670087152	4.32E-18	6.04E-16
ABCB9	Tissue enhanced	testis: 23.8	13.16406097	-0.6505342	0.240186575	-2.708453624	0.006759756	0.028176591
PRSS53	Tissue enhanced	skin: 1.1	91.32005407	1.496341182	0.254058449	5.889751708	3.87E-09	1.03E-07
SLC7A11	Tissue enhanced	cerebral cortex: 22.4	17.353846	-1.840426259	0.417567043	-4.407498841	1.05E-05	0.000114724
NOCT	Tissue enhanced	bone marrow: 21.2	96.97025886	-0.897114926	0.259890949	-3.451889836	0.000556675	0.003486993
GPR158	Tissue enriched	cerebral cortex: 17.9	6.082269131	2.181811006	0.405166782	5.384970098	7.25E-08	1.40E-06
CACNA1C	Tissue enhanced	smooth muscle: 30.9	17.41844794	-2.042858209	0.356638846	-5.728086648	1.02E-08	2.44E-07
THRB	Mixed		941.2189655	0.480138985	0.1083553	4.431153648	9.37E-06	0.000104162
TMEM86A	Mixed		51.4044355	-0.556719519	0.218574034	-2.547052408	0.010863712	0.041379406
BTBD11	Tissue enhanced	parathyroid gland: 130.5	52.09348765	0.822112289	0.304537596	2.699542846	0.006943481	0.028725957
ANK3	Expressed in all		388.3016635	-1.684011274	0.177432871	-9.49097688	2.29E-21	6.19E-19
DLG5	Mixed		137.7231842	-0.449015266	0.121594307	-3.692732638	0.000221857	0.001591554
MAT1A	Tissue enriched	liver: 689.6	27084.98799	0.633114467	0.128974599	4.908830661	9.16E-07	1.35E-05
SLC2A13	Tissue enhanced	cerebral cortex: 49.3;parathyroid gland: 74.7	569.6597834	0.576632252	0.166531713	3.462597244	0.000534989	0.003373219
DIP2C	Mixed		691.048172	0.220716159	0.069741152	3.164790832	0.001551945	0.008280452
TEX30	Group enriched	epididymis: 87.8;testis: 223.6	331.4097357	0.444421282	0.11826396	3.757875891	0.000171362	0.001284079
EXT2	Expressed in all		607.6934556	-0.159463251	0.059398725	-2.684624159	0.007261141	0.02983684
THRSP	Tissue enhanced	adipose tissue: 231.2;liver: 182.9	2851.075238	1.552486379	0.232594214	6.674656066	2.48E-11	1.04E-09
NDUFC2	Expressed in all		874.1274323	0.316402301	0.123874678	2.554212915	0.010642815	0.040696099
ADAMTS12	Mixed		56.40440865	-1.729079189	0.193989598	-8.913257251	4.96E-19	8.22E-17
FER	Mixed		162.0101724	-0.632745707	0.12855552	-4.921964508	8.57E-07	1.27E-05
ANKRD50	Mixed		353.7382857	-0.414408526	0.136849162	-3.028213841	0.002460039	0.012179348
CCDC3	Mixed		436.6481312	-1.260948336	0.156229158	-8.071145967	6.96E-16	6.99E-14
EPS8	Mixed		902.6379206	-0.320278956	0.098505094	-3.251394845	0.001148402	0.006422643
VPS26B	Expressed in all		852.7888198	0.316526738	0.066710252	4.744799042	2.09E-06	2.81E-05
QDPR	Expressed in all		2817.614594	0.392172035	0.128162469	3.059960056	0.002213665	0.011172905
TEX9	Mixed		14.24019791	-1.242835241	0.242184348	-5.131773597	2.87E-07	4.85E-06
MMAA	Mixed		581.1282242	0.330212474	0.109326821	3.020415948	0.002524278	0.012450335
ZNF827	Mixed		47.49600278	-1.492941312	0.200182591	-7.457897846	8.79E-14	6.08E-12
EDNRA	Tissue enhanced	seminal vesicle: 146.8	76.08191698	-0.698311947	0.253798	-2.751447788	0.005933248	0.025338869
NR3C2	Mixed		328.7818725	0.336622623	0.118082123	2.850750093	0.004361623	0.019690586
AKR1C2	Group enriched	adipose tissue: 330.4;breast: 105.2;esophagus: 94.9;gallbladder: 151.9;liver: 161.4;stomach: 126.5;urinary bladder: 143.0	1893.11208	0.836510228	0.224192682	3.731211121	0.000190561	0.001400959
KIN	Mixed		113.1496828	0.336658298	0.117634468	2.861901818	0.004211073	0.01911144
INPP1	Expressed in all		190.3049434	-0.409961849	0.112681204	-3.638245192	0.000274502	0.001910134
MFSD6	Expressed in all		106.8395827	-1.255179811	0.169161578	-7.420005354	1.17E-13	7.99E-12
ADAM17	Expressed in all		194.9967843	-0.286252407	0.11380308	-2.515330928	0.01189207	0.044570209
FLI1	Tissue enhanced	spleen: 46.1	267.2497405	-0.361976588	0.14446753	-2.505591304	0.012224683	0.045540038
TMEM45B	Tissue enhanced	duodenum: 136.2;small intestine: 139.1	878.7664626	-0.845434084	0.197439653	-4.281987277	1.85E-05	0.00018788
WWC2	Mixed		870.5029554	0.293388766	0.102008384	2.876124027	0.004025915	0.018391833
ACSL1	Expressed in all		30053.51268	0.38501032	0.128214932	3.002850865	0.002674635	0.013072782
BICD1	Mixed		44.38719052	-1.417434926	0.188888603	-7.504078605	6.19E-14	4.45E-12
CCDC122	Mixed		33.42023011	-0.565735084	0.203938013	-2.774054112	0.005536247	0.023917701
SACS	Tissue enhanced	parathyroid gland: 32.5	94.84838912	-0.71731276	0.173705032	-4.129487517	3.64E-05	0.000339151
TMEM267	Expressed in all		103.7101135	-0.524975592	0.202406938	-2.593664021	0.009495923	0.037126122
CCL28	Tissue enhanced	breast: 71.1;salivary gland: 126.0	78.60867058	-1.702534246	0.264433277	-6.43842661	1.21E-10	4.39E-09
PARP8	Expressed in all		250.9581113	-0.787175201	0.120116036	-6.553456359	5.62E-11	2.19E-09
GFRA1	Mixed		1452.586703	1.358355761	0.177245016	7.663717658	1.81E-14	1.43E-12
BEND6	Tissue enriched	cerebral cortex: 39.2	1.541872599	-1.635160591	0.434773294	-3.760949933	0.000169269	0.001270311
BAG3	Expressed in all		243.7893702	-0.502270434	0.151183817	-3.322249996	0.000892947	0.005212336
KCNE4	Tissue enhanced	smooth muscle: 54.0	29.67735902	-1.37031643	0.263117137	-5.208009054	1.91E-07	3.36E-06
AP1S3	Tissue enhanced	epididymis: 54.2	43.0851196	-0.504247757	0.167828504	-3.004541803	0.002659812	0.013007996
CCDC74B	Tissue enhanced	fallopian tube: 23.1;testis: 52.0	1.876890886	-1.437214666	0.474368389	-3.029743756	0.002447613	0.012132304
TMEM56	Tissue enhanced	liver: 66.1	8087.902421	0.582059404	0.149408464	3.895759231	9.79E-05	0.00080132
PTPN14	Mixed		36.87296008	-1.572848965	0.196364172	-8.00985715	1.15E-15	1.10E-13
MGAT5	Mixed		282.8254059	-0.720425817	0.112658836	-6.394756416	1.61E-10	5.72E-09
TMEM163	Mixed		7.998600962	-2.001028201	0.436426062	-4.585033699	4.54E-06	5.55E-05
GPATCH11	Mixed		219.2581522	0.242672205	0.08779261	2.764152979	0.005707078	0.024515321
HSPB8	Mixed		69.0084618	-2.128518951	0.213125666	-9.987154475	1.73E-23	7.20E-21
GEMIN6	Mixed		139.2481235	0.264709494	0.085495959	3.096163808	0.00196042	0.010105766
POU4F1	Tissue enhanced	testis: 1.8	6.170914244	-6.782397421	0.744883258	-9.105315971	8.60E-20	1.60E-17
RNF219	Mixed		121.1301315	-0.287794266	0.094426293	-3.047819177	0.002305086	0.011554672
SETBP1	Expressed in all		244.2354873	-0.491080888	0.10546519	-4.656331524	3.22E-06	4.13E-05
TGOLN2	Expressed in all		5551.464284	-0.290323533	0.079417293	-3.655671484	0.00025651	0.001800196
SH2D6	Tissue enhanced	duodenum: 1.5;testis: 3.1;thyroid gland: 1.4	3.454342955	1.107061998	0.408833867	2.707852965	0.006772002	0.02822291
SPOCK1	Tissue enhanced	cerebral cortex: 209.2	6.564961499	-1.686220631	0.456359534	-3.694938977	0.00021994	0.001580074
TADA1	Expressed in all		464.3443888	0.559464374	0.117263827	4.770988523	1.83E-06	2.51E-05
GUCY1A2	Tissue enhanced	placenta: 25.6	30.2665838	-0.988138831	0.259416664	-3.809080011	0.000139485	0.001079614
HOMER1	Tissue enhanced	cerebral cortex: 48.9	47.13189686	-1.330492187	0.194907967	-6.826258621	8.72E-12	4.11E-10
XRCC4	Mixed		71.10189008	-0.500124055	0.166829711	-2.997811679	0.002719256	0.013267435
ZNF256	Mixed		19.95407538	-0.899012309	0.180503267	-4.980587469	6.34E-07	9.75E-06
DCLRE1C	Mixed		23.09041625	-0.578892654	0.169484442	-3.415609401	0.000636395	0.003918321
OLAH	Tissue enriched	testis: 46.0	1.706989325	-1.485622885	0.59669653	-2.489746142	0.012783437	0.047220372
NMT2	Expressed in all		422.0104343	-0.466418711	0.119214542	-3.912431356	9.14E-05	0.000756657
CAMK4	Tissue enhanced	cerebral cortex: 16.5;testis: 17.0	98.4484328	0.686720122	0.180046394	3.81412871	0.000136664	0.001062398
ZFP36L2	Expressed in all		2143.1889	-0.350199693	0.11805092	-2.966513875	0.003011968	0.014449203
PLEKHH2	Mixed		74.53087277	-1.1013021	0.210860386	-5.222897114	1.76E-07	3.13E-06
PFKM	Expressed in all		83.55712165	-0.649240468	0.18841754	-3.445753864	0.000569469	0.003558422
TMEM123	Expressed in all		10812.95434	-0.618323745	0.12963264	-4.76981528	1.84E-06	2.52E-05
SPEF2	Mixed		64.90314037	-0.590818044	0.144638633	-4.084787237	4.41E-05	0.000399785
SPARCL1	Mixed		498.9142689	-1.13574199	0.232505409	-4.884798145	1.04E-06	1.50E-05
NADK2	Expressed in all		7359.775697	0.539330548	0.11972198	4.504858246	6.64E-06	7.68E-05
GPD1L	Expressed in all		111.3947739	-0.698855186	0.13779399	-5.07173923	3.94E-07	6.40E-06
GJA1	Tissue enhanced	parathyroid gland: 651.5	141.4349521	-1.888614578	0.227717933	-8.293657638	1.10E-16	1.26E-14
CCNO	Tissue enhanced	testis: 6.9	2.219866402	-2.595927635	0.626389304	-4.144271973	3.41E-05	0.000319981
PELO	Expressed in all		181.1506493	-0.461785508	0.106008859	-4.356102991	1.32E-05	0.000140546
SAR1B	Expressed in all		3871.85153	0.320949351	0.102906474	3.118845094	0.001815614	0.009457225
SLC16A12	Tissue enhanced	epididymis: 63.5;kidney: 93.5	15.30758445	1.208981229	0.401786115	3.00901695	0.002620945	0.012848204
PANK1	Tissue enhanced	kidney: 46.6;liver: 55.1	2290.611667	0.538529329	0.171457859	3.14088448	0.001684385	0.008879582
PRDM8	Tissue enhanced	prostate: 40.8;seminal vesicle: 37.7	8.295264588	-1.699782682	0.274617028	-6.189647792	6.03E-10	1.93E-08
HHEX	Expressed in all		1246.053762	0.560276335	0.107063916	5.233101464	1.67E-07	2.97E-06
UTRN	Expressed in all		1009.604279	-0.349166075	0.122715177	-2.845337335	0.004436441	0.019984859
ZNF117	Mixed		42.2725681	-1.010134021	0.303569872	-3.327517364	0.000876235	0.005126234
RAB3C	Group enriched	adrenal gland: 12.0;cerebral cortex: 55.3	30.71647054	-2.310577212	0.300228812	-7.696054206	1.40E-14	1.12E-12
PLOD2	Mixed		1712.692153	-0.729025668	0.121493302	-6.000542035	1.97E-09	5.59E-08
STK32B	Tissue enhanced	kidney: 15.8	4.786624146	-2.167168953	0.393131534	-5.512579796	3.54E-08	7.45E-07
ZIC1	Tissue enriched	cerebral cortex: 23.8	95.73867707	1.031349635	0.189544155	5.44121045	5.29E-08	1.06E-06
ADGRA3	Expressed in all		1661.523993	0.612085539	0.138792736	4.410068965	1.03E-05	0.000113571
LGI2	Tissue enriched	parathyroid gland: 371.4	10.41163044	-1.63732616	0.35362317	-4.630143896	3.65E-06	4.62E-05
MR1	Mixed		288.3783687	-0.547558734	0.090219304	-6.069197082	1.29E-09	3.81E-08
CENPH	Tissue enhanced	testis: 53.9	22.9446402	-0.632377817	0.170597284	-3.706845748	0.000209857	0.00151727
CARHSP1	Expressed in all		1308.127459	0.355330298	0.09600898	3.701011071	0.000214742	0.001547648
DAB2	Expressed in all		834.5148548	-0.581858541	0.132856075	-4.37961562	1.19E-05	0.000128339
SMARCA5	Expressed in all		552.22262	-0.305336902	0.120765023	-2.52835543	0.011459827	0.043216846
RASSF3	Expressed in all		347.0875622	-0.60940209	0.144071553	-4.229857147	2.34E-05	0.000229884
AHCTF1	Expressed in all		511.9408174	0.235071475	0.081407545	2.887588323	0.003882076	0.01783949
MERTK	Mixed		431.8010734	0.516961444	0.14244452	3.629212572	0.000284287	0.001966859
TMEM87B	Mixed		364.5166591	-0.539365227	0.117377288	-4.595141327	4.32E-06	5.32E-05
NR4A2	Tissue enhanced	adrenal gland: 174.3	147.3291003	-2.342134837	0.382173333	-6.128462231	8.87E-10	2.74E-08
PLA2R1	Tissue enhanced	thyroid gland: 70.6	71.25040432	-1.289784672	0.217970676	-5.917239399	3.27E-09	8.89E-08
CD96	Tissue enhanced	lymph node: 28.0	68.87504964	-0.985756031	0.232566255	-4.238603015	2.25E-05	0.000222029
ASAP1	Expressed in all		304.5035032	-0.521073614	0.126131725	-4.131185976	3.61E-05	0.00033723
LPCAT1	Tissue enhanced	lung: 19.0;spleen: 14.7	252.4606858	-0.411174391	0.150610911	-2.730043841	0.00633259	0.026700063
CMTM7	Mixed		88.27649866	-0.48944409	0.172856225	-2.831509769	0.004632882	0.020708624
RMND5A	Expressed in all		2073.861918	0.532597306	0.096404379	5.524617355	3.30E-08	7.00E-07
LURAP1L	Mixed		295.328361	-1.005693229	0.18990082	-5.295886703	1.18E-07	2.17E-06
ZDHHC7	Expressed in all		305.137952	-0.359746491	0.092072272	-3.907218567	9.34E-05	0.000769579
C7orf31	Tissue enriched	testis: 131.4	32.27560012	-0.528028086	0.1613344	-3.272879716	0.001064578	0.006048969
JAZF1	Expressed in all		371.8421864	-0.355851187	0.127096414	-2.799852305	0.005112599	0.022457726
KCNJ16	Group enriched	kidney: 209.1;parathyroid gland: 269.7;thyroid gland: 235.1	69.5947076	-1.92314222	0.315235499	-6.10065245	1.06E-09	3.21E-08
PID1	Expressed in all		1004.087918	0.819031865	0.151873862	5.3928428	6.94E-08	1.35E-06
TRIP12	Expressed in all		1202.712297	-0.272601622	0.099337563	-2.744194777	0.006065953	0.025794291
FBXO36	Tissue enhanced	fallopian tube: 17.6	40.61365823	-0.430993204	0.136407262	-3.159606017	0.001579826	0.008401327
MCOLN2	Mixed		14.38385409	-1.034697552	0.239979467	-4.311608669	1.62E-05	0.000167892
MSI2	Expressed in all		105.9213364	-0.550502202	0.132054008	-4.168765574	3.06E-05	0.000290311
CACNA2D1	Mixed		79.55818726	-1.675185187	0.216048792	-7.753735503	8.92E-15	7.43E-13
NUS1	Expressed in all		1458.514877	0.301860952	0.104378751	2.891977046	0.003828259	0.017641032
SEMA3D	Group enriched	spleen: 66.2;thyroid gland: 76.6	49.32303398	-1.319193727	0.264019812	-4.996570964	5.84E-07	9.06E-06
GRAP	Tissue enhanced	lymph node: 30.9;spleen: 25.4	150.7718698	0.495757103	0.158294352	3.131868548	0.001736976	0.009102853
SLC5A10	Tissue enriched	kidney: 43.9	2.607669203	1.755466273	0.568811257	3.086201709	0.002027312	0.010392481
AK5	Tissue enriched	cerebral cortex: 220.7	4.844072341	-1.402719501	0.344656449	-4.069906446	4.70E-05	0.000422965
ANKRD29	Mixed		41.57757396	-1.402730265	0.276761636	-5.068369602	4.01E-07	6.50E-06
THY1	Tissue enhanced	cerebral cortex: 421.8;smooth muscle: 434.2	135.5436643	-2.889760841	0.307921073	-9.384745299	6.31E-21	1.51E-18
C16orf74	Mixed		5.207624728	-0.875733679	0.352899798	-2.481536357	0.013081736	0.048065486
UBASH3B	Tissue enhanced	placenta: 19.6;spleen: 21.3	90.04650417	-0.725281361	0.198476188	-3.654248743	0.000257936	0.001808168
GPR15	Tissue enhanced	colon: 25.0;rectum: 46.8	1.024751692	-2.058762787	0.65620508	-3.137377094	0.001704667	0.008963727
ABI3BP	Mixed		204.0298425	-0.980932733	0.200067796	-4.903001654	9.44E-07	1.38E-05
ANGPT1	Tissue enhanced	seminal vesicle: 46.2	29.42869757	-1.706183019	0.343129221	-4.972421221	6.61E-07	1.01E-05
LRRK1	Mixed		48.19033648	-0.81198386	0.225713629	-3.597407314	0.000321405	0.002189582
CEP112	Tissue enriched	testis: 86.4	44.81990842	-1.023210662	0.190127737	-5.381701162	7.38E-08	1.43E-06
GAL3ST2	Group enriched	colon: 9.3;rectum: 4.0	2.210222166	2.108375218	0.592410459	3.558977031	0.000372302	0.002483207
ENPP3	Tissue enhanced	cervix, uterine: 45.4;small intestine: 49.9	96.52472309	1.428001784	0.218604999	6.532338204	6.48E-11	2.50E-09
C4orf19	Mixed		544.7706131	0.490079251	0.102557363	4.77858669	1.77E-06	2.42E-05
UCHL1	Tissue enriched	cerebral cortex: 785.9	10.92693699	-2.635350971	0.353282413	-7.459615511	8.68E-14	6.02E-12
DISP1	Mixed		127.0601272	-0.427100216	0.131130062	-3.257073239	0.001125674	0.006331089
TNIK	Mixed		126.7466768	-0.610233626	0.195231108	-3.125698737	0.001773832	0.009267664
FAM167A	Tissue enhanced	cerebral cortex: 32.4;thyroid gland: 88.0	10.3666108	-1.999128123	0.367881671	-5.434160719	5.51E-08	1.10E-06
OBSCN	Tissue enriched	skeletal muscle: 301.1	46.53549289	-0.916683588	0.280737396	-3.26527068	0.001093595	0.006187015
ENAH	Mixed		489.700342	-0.83131397	0.135131567	-6.151885826	7.66E-10	2.40E-08
GBP5	Tissue enhanced	appendix: 100.5	41.87887411	-1.146187456	0.327477076	-3.500054024	0.000465164	0.002989756
BUB3	Expressed in all		712.8178879	-0.191125971	0.067802465	-2.818864661	0.004819383	0.021355376
C10orf90	Group enriched	breast: 5.6;cerebral cortex: 15.3;salivary gland: 4.3;testis: 12.1	2.209946638	-1.690416418	0.534343289	-3.16354009	0.001558629	0.008302792
CNTNAP3B	Mixed		23.18656257	-1.082414718	0.335695595	-3.224393569	0.001262398	0.006949329
MAGED4	Not detected		7.946166257	-1.72168952	0.377361931	-4.562435634	5.06E-06	6.08E-05
PDLIM3	Tissue enhanced	skeletal muscle: 1097.6	87.22997606	-2.095295307	0.249960015	-8.38252194	5.18E-17	6.14E-15
BTG3	Mixed		128.1586405	-0.464770209	0.123705137	-3.75708091	0.000171907	0.001287001
NCAM2	Tissue enhanced	cerebral cortex: 68.8	322.5320955	2.6848876	0.3547637	7.568101241	3.79E-14	2.81E-12
JAM2	Tissue enhanced	placenta: 92.9	128.2854893	-0.618925386	0.197152726	-3.139319442	0.001693407	0.008917705
ATP5J	Expressed in all		2469.268069	0.304498101	0.099382804	3.063891218	0.002184783	0.011063021
ADAMTS1	Tissue enhanced	ovary: 412.9	437.4216055	-2.410915887	0.301459749	-7.997471942	1.27E-15	1.20E-13
SLFN13	Tissue enhanced	parathyroid gland: 41.2	74.84911413	-1.876879978	0.220582863	-8.508729795	1.76E-17	2.20E-15
DPH3	Expressed in all		416.1791481	-0.292924438	0.101790341	-2.877723322	0.004005563	0.018322754
PPP4R1	Expressed in all		452.3214051	-0.455171753	0.103322164	-4.405364103	1.06E-05	0.000115676
APCDD1	Tissue enhanced	skin: 153.1	85.78151893	-1.237087345	0.301943085	-4.097087843	4.18E-05	0.000382192
RAB6B	Group enriched	cerebral cortex: 211.3;parathyroid gland: 77.1	26.84876692	-0.680811298	0.187973289	-3.621851293	0.000292502	0.002017528
ACSS1	Expressed in all		123.0612798	-0.706315515	0.218929413	-3.226224868	0.001254348	0.006918785
VOPP1	Expressed in all		146.1572814	-0.875849293	0.298274146	-2.936390242	0.003320563	0.015701354
SEPT14	Tissue enriched	testis: 41.7	8.892340494	1.173161754	0.297915942	3.937895182	8.22E-05	0.00068849
RSPH10B	Group enriched	fallopian tube: 13.4;testis: 35.8	3.500288265	1.835867592	0.546400687	3.359929141	0.000779625	0.004654004
PTPRN2	Tissue enhanced	cerebral cortex: 82.3	83.31262894	-0.560790475	0.144613785	-3.877849371	0.000105384	0.00085339
ATP6V1C1	Expressed in all		611.4763585	-0.296837104	0.105124228	-2.823679265	0.004747587	0.021126507
TMEM55A	Mixed		110.1778328	-1.684038	0.177415848	-9.492038166	2.27E-21	6.19E-19
GTF3C6	Expressed in all		326.7899103	-0.424860205	0.106331862	-3.995605808	6.45E-05	0.000558526
TTC39B	Mixed		58.18842724	-0.670326164	0.238625027	-2.809119284	0.004967724	0.021933584
MARVELD1	Mixed		108.9077503	-1.149814313	0.167654031	-6.858256289	6.97E-12	3.35E-10
GOLGA7B	Group enriched	cerebral cortex: 18.3;epididymis: 28.5;skin: 17.4	16.10797724	-2.097754369	0.267063862	-7.854879179	4.00E-15	3.49E-13
SLC25A28	Expressed in all		248.4224841	0.246694346	0.097122	2.540045984	0.011083789	0.042097768
MOV10	Expressed in all		544.4870547	0.274375991	0.102916724	2.666000052	0.007675968	0.031181115
RHOC	Expressed in all		850.9540973	-0.524901555	0.122212666	-4.294984895	1.75E-05	0.000179042
DBI	Expressed in all		3825.620733	0.753436139	0.125545385	6.001304933	1.96E-09	5.57E-08
OXA1L	Expressed in all		1137.651514	0.161338195	0.060822634	2.652601238	0.007987417	0.032168059
GRIA1	Tissue enriched	cerebral cortex: 67.1	0.751667467	2.305696516	0.924064379	2.495168701	0.012589726	0.046677993
C9orf85	Expressed in all		138.0169513	0.21698271	0.067360092	3.221235346	0.001276393	0.00700932
PIK3AP1	Tissue enhanced	spleen: 85.6	2623.11301	-0.380265053	0.125129705	-3.038967066	0.002373908	0.011823181
TTN	Tissue enriched	skeletal muscle: 322.5	58.94539371	-0.646066418	0.261731304	-2.468433883	0.013570572	0.049561656
PDIA4	Expressed in all		6208.976117	0.442176292	0.114801152	3.851671197	0.000117314	0.000937198
KDM8	Tissue enhanced	liver: 24.2	323.1633044	1.028526056	0.238429042	4.313761639	1.60E-05	0.000166541
